review,Sentiment
﻿Perfect scanning app. (But need an option for jpg saving like pdf saving option.Thank you for taking this request really am astonished with the updates. This really is perfect as Adobe always works.,Positive
Perfect scanning app,Positive
 This really is perfect as Adobe always works,Positive
"""Although the Adobe Scan app is a wonderful scanning tool with multiple scanning options there are few functions which it lacks & should definitely be incorporated: 1. Folder support unavailable so all scans appear at one place only & you cant really sort out categorically; 2. Each document is uploaded on Adobe server, other than that it does not have other platform cloud support like Google Drive, Dropbox, Onedrive etc.; 3. There is no option of sharing files as jpg or png in case we need it.""",Neutral
sometimes it may consume more time in snchronizing data. Need to add jpg and other basic functions. It would be better if Adobe will create one editing gallery in it. When I preview my scan pdf for the content with some pencil sketch but the pencil drawing is not properly visible after scanning it. Improve the sketch efficiency and take a action on it.,Bug Report
"""Tq, for lates upadte, but still , it didn't ask which format to save, dirctly it is saving as pdf format, after that we addtionally choose as image format. It is draw back. In my openion after scan the copy, it will which format to save. And also flash also not wroking properly while scaning docs.""",Bug Report
 It is draw back,Negative
"""Best scanner I've used before in my mobile... Missing some features like share as jpg... If the devlepor add this option I""""ll be thank full to them and give 5 star. Thanks adobe for adding the feature of saving page asjpeg and as I promised I gave 5 star""",Positive
"""Best scanner I've used before in my mobile",Positive
App is good....i request to developers to please add colour filters... please give attention to this detail then the app will be superb.. @Adobe . Also thanks adobe for listening your users..but plz add a easy way to apply colour filters.,Feature Suggestion
App is good,Positive
Enable option to save documents in JPEG format. Its scanning quality is better than other apps .,Neutral
Would give it 5 stars if .jpeg will be also the same size as pdf... For eg. I scanned a pic. It's pdf is of 315kb but it's .jpeg is 1.6mb ... please fix it ASAP.,Bug Report
Thanks for listening to my feedback. Now I will use Adobe Scan for all my Document Scanning needs.,Appreciation
(How to share as JPEG (image) ?) Thanks for the save as jpeg image. But jpg sharing still is 2 step away from the end user. Hope adobe will provide a better solution.,Neutral
"""Can this app scan hindi documents and present hindi document OCR?There is no option of OCR ,but it is presented as OCR too, Its just like normal scanners which I found so far.If OCR is there then developers should give option for OCR""",Neutral
"""Wonderful app, but it lacks one feature that is to save filtered scan as image (.jpeg) . Please add this feature. Edited: still you cannot save photo without internet.""",Feature Suggestion
Thanks for latest update for JPEG option. One more option for scanning of images or pics is required other than document scanning.,Feature Suggestion
Thank you for addressing me after adding the feature what I had mentioned. Now it's totally awesome and easy to use.,Appreciation
 Now it's totally awesome and easy to use,Positive
Function to save document as jpeg is not working showing service unavaliable. Cloud upload of document should not be automatic . Document should be saved in device primarily. Thanks.,Feature Suggestion
Bettr make dedicated path for save as option Where is that option to save image ? Still not get what you say Scan must have multi multi option to save as image or pdf Plz improve,Feature Suggestion
Thank you Adobe for providing various features of scanner. I am enjoying and using it.,Appreciation
Great for your work but i want to add thing that jpeg formate need before photo scane because making pdf and then uploading jpeg is very long so try to make like we can capture jpeg formate.,Feature Suggestion
You can't open pdf files also you can't convert PDF into Jpg like CamScanner in this app. Worst!!!!!,Negative
 Worst!!!!!,Negative
please fix the bugs it will hang when i scan more than 2 pages but good app,Bug Report
I am increasing the rating as you guys listened to me and provided the feature i asked for! Now i think the app is capable of performing my required tasks! Thanks for listening!,Appreciation
Save Jpeg option possible only after enabling internet connections allowing data usage. Without data .it's not showing,Bug Report
A good app but also save file in device as not directly upload them to cloud 👍👍,Feature Suggestion
Every thing is ok but I am unable to save a scan as jpg or JPEG format. Can you help me??,Question
Good app best quality but only PDF format available not convert JPG Jpg very usefull to all plese update this version,Positive
"""Sir having issue in manual scan, manually more than 3 it is not working""",Bug Report
Thanks Adobe team for hear us out and implemented the JPEG save option...this will be helpful...thanks again,Appreciation
Why not Jpeg option was separated like Pdf option..,Question
"""I downloaded this App as an alternative to the Chinese Camscanner. Though I find it good, it doesn't seem to completely match up with camscanner for one reason that it doesn't allow me to convert documents to an image format such as .jpg or .jpeg. I have to currently open the document as a pdf and then take a screenshot. Secondly it doesn't have the functionality of scanning a long document like that in camscanner.""",Neutral
"""App is good, but we can take scan each page only, not all togther multiple pages. Camscanner allowed us to create one file for creating scan of multiple pages under one file name, which is not possible i think in this app. Otherwise app is nice , please look into this matter""",Personal Experience
No option of sharing the scanned picture as jpg is given. It should be given because we don't need a PDF most of the time. It's very irritating now we all together need a new app to convert the PDF into jpg for our use. Very disappointing please work on it. Cam Scanner gave us all those features.,Negative
 It's very irritating now we all together need a new app to convert the PDF into jpg for our use,Negative
 Very disappointing please work on it,Negative
Please include all the features in ADOBE which are there in the CAMSCANNER. Please include these features as early as possible 1. Grouping the documents into files 2. SCAN FORMAT IN JPG ALSO 3. scanning quality is not good as CAMSCANNER (some what dull in ADOBE),Feature Suggestion
 scanning quality is not good as CAMSCANNER (some what dull in ADOBE),Negative
Please include all the features in ADOBE which are there in the CAMSCANNER,Feature Suggestion
I want to save the scaned image in jpeg form instead it gives me option to save as PDF. If I select in my preference to save as gallery it saves original file not the scaned copy. Very frustrating as I don't find any good replacement of cam scanner.,Bug Report
 Very frustrating as I don't find any good replacement of cam scanner,Negative
"""add some options like - 1.Send scaned photo as jpg(image) or pdf(now we have only save as pdf) 2.Share scaned photo on multiple platform like Gmail,Whatsapp,Facebook,Twitter,Instagram etc. 3.Save scanned photo directly in phone(internal or external memory).""",Feature Suggestion
"""I found this app quite useful. However, I would like to suggest the Adobe Scan team to add one more feature called """"Image Scan"""", where one can scan the file and save or export it as an image (.jpg or .jpeg). I think it would definitely add to the versatility of this app Best wishes!""",Positive
"""I found this app quite useful",Positive
